id,city,date,temperature,humidity,wind_speed
1,New York,2025-04-22,66.7,58,14.9
2,New York,2025-04-22,66.7,58,14.9
3,New York,2025-04-22,66.7,58,14.9
4,New York,2025-04-22,66.7,58,14.9
5,New York,2025-04-22,66.7,58,14.9
6,Los Angeles,2025-04-22,61.5,73,9.6
7,Los Angeles,2025-04-22,61.5,73,9.6
8,Los Angeles,2025-04-22,61.5,73,9.6
9,Los Angeles,2025-04-22,61.5,73,9.6
10,Los Angeles,2025-04-22,61.5,73,9.6
11,Chicago,2025-04-22,56.2,62,14.4
12,Chicago,2025-04-22,56.2,62,14.4
13,Chicago,2025-04-22,56.2,62,14.4
14,Chicago,2025-04-22,56.2,62,14.4
15,Chicago,2025-04-22,56.2,62,14.4
16,Houston,2025-04-22,75.7,85,11.1
17,Houston,2025-04-22,75.7,85,11.1
18,Houston,2025-04-22,75.7,85,11.1
19,Houston,2025-04-22,75.7,85,11.1
20,Houston,2025-04-22,75.7,85,11.1
21,Phoenix,2025-04-22,77.5,16,5.7
22,Phoenix,2025-04-22,77.5,16,5.7
23,Phoenix,2025-04-22,77.5,16,5.7
24,Phoenix,2025-04-22,77.5,16,5.7
25,Phoenix,2025-04-22,77.5,16,5.7
26,New York,2025-04-22,66.7,58,14.9
27,New York,2025-04-22,66.7,58,14.9
28,New York,2025-04-22,66.7,58,14.9
29,New York,2025-04-22,66.7,58,14.9
30,New York,2025-04-22,66.7,58,14.9
31,Los Angeles,2025-04-22,61.5,73,9.6
32,Los Angeles,2025-04-22,61.5,73,9.6
33,Los Angeles,2025-04-22,61.5,73,9.6
34,Los Angeles,2025-04-22,61.5,73,9.6
35,Los Angeles,2025-04-22,61.5,73,9.6
36,Chicago,2025-04-22,56.2,62,14.4
37,Chicago,2025-04-22,56.2,62,14.4
38,Chicago,2025-04-22,56.2,62,14.4
39,Chicago,2025-04-22,56.2,62,14.4
40,Chicago,2025-04-22,56.2,62,14.4
41,Houston,2025-04-22,75.7,85,11.1
42,Houston,2025-04-22,75.7,85,11.1
43,Houston,2025-04-22,75.7,85,11.1
44,Houston,2025-04-22,75.7,85,11.1
45,Houston,2025-04-22,75.7,85,11.1
46,Phoenix,2025-04-22,77.5,16,5.7
47,Phoenix,2025-04-22,77.5,16,5.7
48,Phoenix,2025-04-22,77.5,16,5.7
49,Phoenix,2025-04-22,77.5,16,5.7
50,Phoenix,2025-04-22,77.5,16,5.7
51,New York,2025-04-22,66.7,58,14.9
52,New York,2025-04-22,66.7,58,14.9
53,New York,2025-04-22,66.7,58,14.9
54,New York,2025-04-22,66.7,58,14.9
55,New York,2025-04-22,66.7,58,14.9
56,Los Angeles,2025-04-22,61.5,73,9.6
57,Los Angeles,2025-04-22,61.5,73,9.6
58,Los Angeles,2025-04-22,61.5,73,9.6
59,Los Angeles,2025-04-22,61.5,73,9.6
60,Los Angeles,2025-04-22,61.5,73,9.6
61,Chicago,2025-04-22,56.2,62,14.4
62,Chicago,2025-04-22,56.2,62,14.4
63,Chicago,2025-04-22,56.2,62,14.4
64,Chicago,2025-04-22,56.2,62,14.4
65,Chicago,2025-04-22,56.2,62,14.4
66,Houston,2025-04-22,75.7,85,11.1
67,Houston,2025-04-22,75.7,85,11.1
68,Houston,2025-04-22,75.7,85,11.1
69,Houston,2025-04-22,75.7,85,11.1
70,Houston,2025-04-22,75.7,85,11.1
71,Phoenix,2025-04-22,77.5,16,5.7
72,Phoenix,2025-04-22,77.5,16,5.7
73,Phoenix,2025-04-22,77.5,16,5.7
74,Phoenix,2025-04-22,77.5,16,5.7
75,Phoenix,2025-04-22,77.5,16,5.7
76,New York,2025-04-22,66.7,58,14.9
77,New York,2025-04-22,66.7,58,14.9
78,New York,2025-04-22,66.7,58,14.9
79,New York,2025-04-22,66.7,58,14.9
80,New York,2025-04-22,66.7,58,14.9
81,Los Angeles,2025-04-22,61.5,73,9.6
82,Los Angeles,2025-04-22,61.5,73,9.6
83,Los Angeles,2025-04-22,61.5,73,9.6
84,Los Angeles,2025-04-22,61.5,73,9.6
85,Los Angeles,2025-04-22,61.5,73,9.6
86,Chicago,2025-04-22,56.2,62,14.4
87,Chicago,2025-04-22,56.2,62,14.4
88,Chicago,2025-04-22,56.2,62,14.4
89,Chicago,2025-04-22,56.2,62,14.4
90,Chicago,2025-04-22,56.2,62,14.4
91,Houston,2025-04-22,75.7,85,11.1
92,Houston,2025-04-22,75.7,85,11.1
93,Houston,2025-04-22,75.7,85,11.1
94,Houston,2025-04-22,75.7,85,11.1
95,Houston,2025-04-22,75.7,85,11.1
96,Phoenix,2025-04-22,77.5,16,5.7
97,Phoenix,2025-04-22,77.5,16,5.7
98,Phoenix,2025-04-22,77.5,16,5.7
99,Phoenix,2025-04-22,77.5,16,5.7
100,Phoenix,2025-04-22,77.5,16,5.7
